,曲名,アーティスト名,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
166,アイネクライネ,Kenshi Yonezu,25888,https://open.spotify.com/track/45YBVp6zMwQZRbUDcPzmMB,0.471,0.868,1,-2.291,1,0.0295,0.0384,0.0,0.297,0.811,173.969,audio_features,45YBVp6zMwQZRbUDcPzmMB,spotify:track:45YBVp6zMwQZRbUDcPzmMB,https://api.spotify.com/v1/tracks/45YBVp6zMwQZRbUDcPzmMB,https://api.spotify.com/v1/audio-analysis/45YBVp6zMwQZRbUDcPzmMB,288013,4
167,TEENAGE VIBE,kZm,25852,https://open.spotify.com/track/0X5j6Fw8077d74Q1WtyiqF,0.539,0.941,11,-4.645,0,0.29,0.0747,0.0,0.052,0.539,179.042,audio_features,0X5j6Fw8077d74Q1WtyiqF,spotify:track:0X5j6Fw8077d74Q1WtyiqF,https://api.spotify.com/v1/tracks/0X5j6Fw8077d74Q1WtyiqF,https://api.spotify.com/v1/audio-analysis/0X5j6Fw8077d74Q1WtyiqF,157582,4
168,カタコト,sloppy dim,25790,https://open.spotify.com/track/3ck6DbwKM4maTik8s7j3s4,0.859,0.629,4,-6.613,1,0.0695,0.591,0.00474,0.165,0.909,135.02,audio_features,3ck6DbwKM4maTik8s7j3s4,spotify:track:3ck6DbwKM4maTik8s7j3s4,https://api.spotify.com/v1/tracks/3ck6DbwKM4maTik8s7j3s4,https://api.spotify.com/v1/audio-analysis/3ck6DbwKM4maTik8s7j3s4,158889,4
169,君に叱られた,Nogizaka46,25762,https://open.spotify.com/track/2ddPABR2Qfj7lq9v6QVTVn,0.662,0.926,5,-2.175,1,0.048,0.0457,0.0,0.313,0.84,132.957,audio_features,2ddPABR2Qfj7lq9v6QVTVn,spotify:track:2ddPABR2Qfj7lq9v6QVTVn,https://api.spotify.com/v1/tracks/2ddPABR2Qfj7lq9v6QVTVn,https://api.spotify.com/v1/audio-analysis/2ddPABR2Qfj7lq9v6QVTVn,264453,4
170,Myra,Tani Yuuki,25757,https://open.spotify.com/track/5wc4f6crkCzAvwNhoEeMhh,0.683,0.318,0,-13.335,1,0.0349,0.71,9.05e-05,0.167,0.587,144.027,audio_features,5wc4f6crkCzAvwNhoEeMhh,spotify:track:5wc4f6crkCzAvwNhoEeMhh,https://api.spotify.com/v1/tracks/5wc4f6crkCzAvwNhoEeMhh,https://api.spotify.com/v1/audio-analysis/5wc4f6crkCzAvwNhoEeMhh,255000,4
171,春愁,Mrs. GREEN APPLE,25701,https://open.spotify.com/track/5SHguvOUbyPTINNjCvRo8K,0.724,0.444,10,-4.903,1,0.0412,0.0121,0.0,0.123,0.739,129.962,audio_features,5SHguvOUbyPTINNjCvRo8K,spotify:track:5SHguvOUbyPTINNjCvRo8K,https://api.spotify.com/v1/tracks/5SHguvOUbyPTINNjCvRo8K,https://api.spotify.com/v1/audio-analysis/5SHguvOUbyPTINNjCvRo8K,183800,4
172,旅路,Fujii Kaze,25621,https://open.spotify.com/track/1EM9pvygHqQm03as6sxLg9,0.59,0.556,9,-7.124,1,0.07,0.0711,3.24e-06,0.08,0.749,171.936,audio_features,1EM9pvygHqQm03as6sxLg9,spotify:track:1EM9pvygHqQm03as6sxLg9,https://api.spotify.com/v1/tracks/1EM9pvygHqQm03as6sxLg9,https://api.spotify.com/v1/audio-analysis/1EM9pvygHqQm03as6sxLg9,277333,4
173,MONTERO (Call Me By Your Name),Lil Nas X,25598,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,audio_features,1SC5rEoYDGUK4NfG82494W,spotify:track:1SC5rEoYDGUK4NfG82494W,https://api.spotify.com/v1/tracks/1SC5rEoYDGUK4NfG82494W,https://api.spotify.com/v1/audio-analysis/1SC5rEoYDGUK4NfG82494W,137704,4
174,IDOL,BTS,25489,https://open.spotify.com/track/2AIWoHr9DF6y4KALCBKWQS,0.734,0.855,9,-3.211,1,0.118,0.00481,0.0,0.123,0.422,126.035,audio_features,2AIWoHr9DF6y4KALCBKWQS,spotify:track:2AIWoHr9DF6y4KALCBKWQS,https://api.spotify.com/v1/tracks/2AIWoHr9DF6y4KALCBKWQS,https://api.spotify.com/v1/audio-analysis/2AIWoHr9DF6y4KALCBKWQS,222732,4
175,全力少年,Sukima Switch,25473,https://open.spotify.com/track/3Ztjw8utVpcrzms1RrsJvR,0.639,0.79,2,-4.156,1,0.0263,0.25,0.0,0.299,0.733,133.948,audio_features,3Ztjw8utVpcrzms1RrsJvR,spotify:track:3Ztjw8utVpcrzms1RrsJvR,https://api.spotify.com/v1/tracks/3Ztjw8utVpcrzms1RrsJvR,https://api.spotify.com/v1/audio-analysis/3Ztjw8utVpcrzms1RrsJvR,272747,4
